id;act_count;max_count;creation_date;close_date;skip_turn
1;343;64105;2020-10-10T16:36:26;2020-10-10T05:10:30;true
2;15533;79248;2020-10-10T09:32:36;2020-10-10T15:40:22;true
3;8722;7049;2020-10-10T03:42:45;2020-10-10T20:09:58;false
4;91194;30504;2020-10-10T19:41:39;2020-10-10T00:35:41;true
5;505;38608;2020-10-10T01:40:40;2020-10-10T15:26:44;false
6;75329;12753;2020-10-10T05:26:28;2020-10-10T07:03:09;false
7;53057;52622;2020-10-09T21:52:26;2020-10-10T11:39:58;true
8;92548;63244;2020-10-10T08:24:08;2020-10-10T02:35:20;true
9;49395;34158;2020-10-10T13:47:14;2020-10-09T22:27:00;false
10;33654;1233;2020-10-10T14:52:31;2020-10-10T15:59:53;true
